fiscal_year,category,sub_category,value,unit,note,year
2021-22,GDP at Current Prices,GDP at Current Prices,23471012.0,value in Crore Rupees,Budget Estimates,2021
2021-22,Total Expenditure on Education by Education Department,States,552114.0,value in Crore Rupees,Budget Estimates,2021
2021-22,Total Expenditure on Education by Education Department,Centre,93219.0,value in Crore Rupees,Budget Estimates,2021
2021-22,Total Expenditure on Education by Education Department,States and Centre,645333.0,value in Crore Rupees,Budget Estimates,2021
2021-22,Total Expenditure on Education by Education Department,States as % of GDP,2.35,value in percentage,Budget Estimates,2021
2021-22,Total Expenditure on Education by Education Department,Centre as % of GDP,0.4,value in percentage,Budget Estimates,2021
2021-22,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.75,value in percentage,Budget Estimates,2021
2021-22,Total Expenditure on Education by Education and Other Departments,States,728707.0,value in Crore Rupees,Budget Estimates,2021
2021-22,Total Expenditure on Education by Education and Other Departments,Centre,238469.0,value in Crore Rupees,Budget Estimates,2021
2021-22,Total Expenditure on Education by Education and Other Departments,States and Centre,967177.0,value in Crore Rupees,Budget Estimates,2021
2021-22,Total Expenditure on Education by Education and Other Departments,States as % of GDP,3.1,value in percentage,Budget Estimates,2021
2021-22,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.02,value in percentage,Budget Estimates,2021
2021-22,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,4.12,value in percentage,Budget Estimates,2021
2020-21,GDP at Current Prices,GDP at Current Prices,19829927.0,value in Crore Rupees,Revised Estimates,2020
2020-21,Total Expenditure on Education by Education Department,States,499923.0,value in Crore Rupees,Revised Estimates,2020
2020-21,Total Expenditure on Education by Education Department,Centre,84903.0,value in Crore Rupees,Revised Estimates,2020
2020-21,Total Expenditure on Education by Education Department,States and Centre,584826.0,value in Crore Rupees,Revised Estimates,2020
2020-21,Total Expenditure on Education by Education Department,States as % of GDP,2.52,value in percentage,Revised Estimates,2020
2020-21,Total Expenditure on Education by Education Department,Centre as % of GDP,0.43,value in percentage,Revised Estimates,2020
2020-21,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.95,value in percentage,Revised Estimates,2020
2020-21,Total Expenditure on Education by Education and Other Departments,States,657479.0,value in Crore Rupees,Revised Estimates,2020
2020-21,Total Expenditure on Education by Education and Other Departments,Centre,206973.0,value in Crore Rupees,Revised Estimates,2020
2020-21,Total Expenditure on Education by Education and Other Departments,States and Centre,864452.0,value in Crore Rupees,Revised Estimates,2020
2020-21,Total Expenditure on Education by Education and Other Departments,States as % of GDP,3.32,value in percentage,Revised Estimates,2020
2020-21,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.04,value in percentage,Revised Estimates,2020
2020-21,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,4.36,value in percentage,Revised Estimates,2020
2019-20,GDP at Current Prices,GDP at Current Prices,20103593.0,value in Crore Rupees,,2019
2019-20,Total Expenditure on Education by Education Department,States,462164.0,value in Crore Rupees,,2019
2019-20,Total Expenditure on Education by Education Department,Centre,87442.0,value in Crore Rupees,,2019
2019-20,Total Expenditure on Education by Education Department,States and Centre,549606.0,value in Crore Rupees,,2019
2019-20,Total Expenditure on Education by Education Department,States as % of GDP,2.3,value in percentage,,2019
2019-20,Total Expenditure on Education by Education Department,Centre as % of GDP,0.43,value in percentage,,2019
2019-20,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.73,value in percentage,,2019
2019-20,Total Expenditure on Education by Education and Other Departments,States,609222.0,value in Crore Rupees,,2019
2019-20,Total Expenditure on Education by Education and Other Departments,Centre,202991.0,value in Crore Rupees,,2019
2019-20,Total Expenditure on Education by Education and Other Departments,States and Centre,812214.0,value in Crore Rupees,,2019
2019-20,Total Expenditure on Education by Education and Other Departments,States as % of GDP,3.03,value in percentage,,2019
2019-20,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.01,value in percentage,,2019
2019-20,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,4.04,value in percentage,,2019
2018-19,GDP at Current Prices,GDP at Current Prices,18899668.0,value in Crore Rupees,,2018
2018-19,Total Expenditure on Education by Education Department,States,416045.0,value in Crore Rupees,,2018
2018-19,Total Expenditure on Education by Education Department,Centre,77715.0,value in Crore Rupees,,2018
2018-19,Total Expenditure on Education by Education Department,States and Centre,493761.0,value in Crore Rupees,,2018
2018-19,Total Expenditure on Education by Education Department,States as % of GDP,2.2,value in percentage,,2018
2018-19,Total Expenditure on Education by Education Department,Centre as % of GDP,0.41,value in percentage,,2018
2018-19,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.61,value in percentage,,2018
2018-19,Total Expenditure on Education by Education and Other Departments,States,554442.0,value in Crore Rupees,,2018
2018-19,Total Expenditure on Education by Education and Other Departments,Centre,182139.0,value in Crore Rupees,,2018
2018-19,Total Expenditure on Education by Education and Other Departments,States and Centre,736581.0,value in Crore Rupees,,2018
2018-19,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.93,value in percentage,,2018
2018-19,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.96,value in percentage,,2018
2018-19,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.9,value in percentage,,2018
2017-18,GDP at Current Prices,GDP at Current Prices,17090042.0,value in Crore Rupees,,2017
2017-18,Total Expenditure on Education by Education Department,States,378542.0,value in Crore Rupees,,2017
2017-18,Total Expenditure on Education by Education Department,Centre,79993.0,value in Crore Rupees,,2017
2017-18,Total Expenditure on Education by Education Department,States and Centre,458535.0,value in Crore Rupees,,2017
2017-18,Total Expenditure on Education by Education Department,States as % of GDP,2.21,value in percentage,,2017
2017-18,Total Expenditure on Education by Education Department,Centre as % of GDP,0.47,value in percentage,,2017
2017-18,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.68,value in percentage,,2017
2017-18,Total Expenditure on Education by Education and Other Departments,States,495594.0,value in Crore Rupees,,2017
2017-18,Total Expenditure on Education by Education and Other Departments,Centre,166558.0,value in Crore Rupees,,2017
2017-18,Total Expenditure on Education by Education and Other Departments,States and Centre,662151.0,value in Crore Rupees,,2017
2017-18,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.9,value in percentage,,2017
2017-18,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.97,value in percentage,,2017
2017-18,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.87,value in percentage,,2017
2016-17,GDP at Current Prices,GDP at Current Prices,15391669.0,value in Crore Rupees,,2016
2016-17,Total Expenditure on Education by Education Department,States,356080.0,value in Crore Rupees,,2016
2016-17,Total Expenditure on Education by Education Department,Centre,71931.0,value in Crore Rupees,,2016
2016-17,Total Expenditure on Education by Education Department,States and Centre,428011.0,value in Crore Rupees,,2016
2016-17,Total Expenditure on Education by Education Department,States as % of GDP,2.31,value in percentage,,2016
2016-17,Total Expenditure on Education by Education Department,Centre as % of GDP,0.47,value in percentage,,2016
2016-17,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.78,value in percentage,,2016
2016-17,Total Expenditure on Education by Education and Other Departments,States,484777.0,value in Crore Rupees,,2016
2016-17,Total Expenditure on Education by Education and Other Departments,Centre,168322.0,value in Crore Rupees,,2016
2016-17,Total Expenditure on Education by Education and Other Departments,States and Centre,653099.0,value in Crore Rupees,,2016
2016-17,Total Expenditure on Education by Education and Other Departments,States as % of GDP,3.15,value in percentage,,2016
2016-17,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.09,value in percentage,,2016
2016-17,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,4.24,value in percentage,,2016
2015-16,GDP at Current Prices,GDP at Current Prices,13771874.0,value in Crore Rupees,,2015
2015-16,Total Expenditure on Education by Education Department,States,319809.0,value in Crore Rupees,,2015
2015-16,Total Expenditure on Education by Education Department,Centre,67347.0,value in Crore Rupees,,2015
2015-16,Total Expenditure on Education by Education Department,States and Centre,387155.0,value in Crore Rupees,,2015
2015-16,Total Expenditure on Education by Education Department,States as % of GDP,2.32,value in percentage,,2015
2015-16,Total Expenditure on Education by Education Department,Centre as % of GDP,0.49,value in percentage,,2015
2015-16,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.81,value in percentage,,2015
2015-16,Total Expenditure on Education by Education and Other Departments,States,435230.0,value in Crore Rupees,,2015
2015-16,Total Expenditure on Education by Education and Other Departments,Centre,142563.0,value in Crore Rupees,,2015
2015-16,Total Expenditure on Education by Education and Other Departments,States and Centre,577793.0,value in Crore Rupees,,2015
2015-16,Total Expenditure on Education by Education and Other Departments,States as % of GDP,3.16,value in percentage,,2015
2015-16,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.04,value in percentage,,2015
2015-16,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,4.2,value in percentage,,2015
2014-15,GDP at Current Prices,GDP at Current Prices,12467959.0,value in Crore Rupees,,2014
2014-15,Total Expenditure on Education by Education Department,States,292386.0,value in Crore Rupees,,2014
2014-15,Total Expenditure on Education by Education Department,Centre,68926.0,value in Crore Rupees,,2014
2014-15,Total Expenditure on Education by Education Department,States and Centre,361312.0,value in Crore Rupees,,2014
2014-15,Total Expenditure on Education by Education Department,States as % of GDP,2.35,value in percentage,,2014
2014-15,Total Expenditure on Education by Education Department,Centre as % of GDP,0.55,value in percentage,,2014
2014-15,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.9,value in percentage,,2014
2014-15,Total Expenditure on Education by Education and Other Departments,States,373457.0,value in Crore Rupees,,2014
2014-15,Total Expenditure on Education by Education and Other Departments,Centre,133392.0,value in Crore Rupees,,2014
2014-15,Total Expenditure on Education by Education and Other Departments,States and Centre,506849.0,value in Crore Rupees,,2014
2014-15,Total Expenditure on Education by Education and Other Departments,States as % of GDP,3.0,value in percentage,,2014
2014-15,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.07,value in percentage,,2014
2014-15,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,4.07,value in percentage,,2014
2013-14,GDP at Current Prices,GDP at Current Prices,11233522.0,value in Crore Rupees,,2013
2013-14,Total Expenditure on Education by Education Department,States,261737.0,value in Crore Rupees,,2013
2013-14,Total Expenditure on Education by Education Department,Centre,71495.0,value in Crore Rupees,,2013
2013-14,Total Expenditure on Education by Education Department,States and Centre,333232.0,value in Crore Rupees,,2013
2013-14,Total Expenditure on Education by Education Department,States as % of GDP,2.33,value in percentage,,2013
2013-14,Total Expenditure on Education by Education Department,Centre as % of GDP,0.64,value in percentage,,2013
2013-14,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.97,value in percentage,,2013
2013-14,Total Expenditure on Education by Education and Other Departments,States,318250.0,value in Crore Rupees,,2013
2013-14,Total Expenditure on Education by Education and Other Departments,Centre,112629.0,value in Crore Rupees,,2013
2013-14,Total Expenditure on Education by Education and Other Departments,States and Centre,430879.0,value in Crore Rupees,,2013
2013-14,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.83,value in percentage,,2013
2013-14,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,1.0,value in percentage,,2013
2013-14,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.84,value in percentage,,2013
2012-13,GDP at Current Prices,GDP at Current Prices,9944013.0,value in Crore Rupees,,2012
2012-13,Total Expenditure on Education by Education Department,States,233125.0,value in Crore Rupees,,2012
2012-13,Total Expenditure on Education by Education Department,Centre,66088.0,value in Crore Rupees,,2012
2012-13,Total Expenditure on Education by Education Department,States and Centre,299213.0,value in Crore Rupees,,2012
2012-13,Total Expenditure on Education by Education Department,States as % of GDP,2.34,value in percentage,,2012
2012-13,Total Expenditure on Education by Education Department,Centre as % of GDP,0.66,value in percentage,,2012
2012-13,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,3.01,value in percentage,,2012
